SUPER FAMILY,FAMILY,SUB FAMILY,FAMILY COMMON NAME,SPECIES,COMMON NAME,DESCRIPTION,STATES,HOST PLANTS
Hesperioidea,Hesperiidae,,Skippers,Polites Origenes,Crossline Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Andropogon, Schizachyrium, Tridens"
Papilionoidea,Pieridae,,Whites & Sulfers,Nathalis Iole,Dainty Sulphur,"","NC, PA, VA, WV","Bidens, Dyssodia, Erodium, Galium, Mollugo, Stellaria, Tagetes"
Hesperioidea,Hesperiidae,,Skippers,Antrytone Logan,Delaware Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Andropogon, Arundinaria, Imperata, Panicum, Saccharum, Sorghastrum"
Hesperioidea,Hesperiidae,,Skippers,Atrytone Delaware,Delaware Skipper,"","",""
Hesperioidea,Hesperiidae,,Skippers,Euphyes Dion,Dion Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA","Carex, Scirpus"
Papilionoidea,Lycaenidae,,Gossamer-winged,Lycaena Dorcas,Dorcas Copper,"","OH, PA",""
Hesperioidea,Hesperiidae,,Skippers,Hesperia Attalus,Dotted Skipper,"","MD, MA, NJ, NY, NC, PA, VA","Aristida, Bouteloua, Digitaria"
Hesperioidea,Hesperiidae,,Skippers,Erynnis Icelus,Dreamy Duskywing,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Betula, Populus, Robinia, Salix"
Hesperioidea,Hesperiidae,,Skippers,Euphyes Dukesi,Dukes' Skipper,"","NC, OH, VA","Carex, Rhynchospora"
Hesperioidea,Hesperiidae,,Skippers,Euphyes Ruricola Metacomet,Dun Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV",""
Hesperioidea,Hesperiidae,,Skippers,Euphyes Vestris,Dun Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Carex, Cyperus"
Papilionoidea,Lycaenidae,,Gossamer-winged,Celastrina Nigra,Dusky Azure,"","MD, NC, OH, PA, VA, WV","Aruncus"
Papilionoidea,Lycaenidae,,Gossamer-winged,Celastrina Ebenina,Dusky Blue,"","MD, NC, OH, PA, VA, WV","Aruncus"
Hesperioidea,Hesperiidae,,Skippers,Amblyscirtes Alternata,Dusky Roadside-Skipper,"","NC, OH, VA",""
Hesperioidea,Hesperiidae,,Skippers,Atrytonopsis Hianna,Dusted Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Andropogon, Schizachyrium, Sorghastrum"
Papilionoidea,Lycaenidae,,Gossamer-winged,Erora Laeta,Early Hairstreak,"","MD, MA, NJ, NY, NC, PA, VA, WV","Corylus, Fagus, Quercus, Salix"
Papilionoidea,Nymphalidae,,Brush-footed,Polygonia Comma,Eastern Comma,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Betula, Boehmeria, Celtis, Humulus, Laportea, Ulmus, Urtica"
Papilionoidea,Lycaenidae,,Gossamer-winged,Callophrys Niphon,Eastern Pine Elfin,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV",""
Papilionoidea,Nymphalidae,Libytheidae,Snout Butterflies,Libytheana Bachmanii,Eastern Snout Butterfly,"","CT, DE, MD, MA, NJ, NY, NC, PA, RI, VA","Celtis, Symphoricarpos"
Papilionoidea,Lycaenidae,,Gossamer-winged,Everes Comyntas,Eastern Tailed-Blue,"","CT, MD, MA, NY, NC, PA, RI, VA, WV","Astragalus, Desmodium, Lathyrus, Lespedeza, Lotus, Lupinus, Medicago, Melilotus, Trifolium, Vicia"
Papilionoidea,Papilionidae,,Swallowtails,Papilio Glaucus,Eastern Tiger Swallowtail,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Acer, Alnus, Betula, Carpinus, Carya, Catalpa, Cinnamomum, Cirsium, Crataegus, Cydonia, Fraxinus, Lindera, Liriodendron, Magnolia, Malus, Populus, Prunus, Ptelea, Quercus, Salix, Sassafras, Sorbus, Syringa, Tilia, Zanthoxylum"
Papilionoidea,Lycaenidae,,Gossamer-winged,Celastrina Ladon Lucia Violacea,Edwards' Azure,"","","Cornus, Ledum, Lonicera, Prunus, Rhamnus, Vaccinium, Viburnum"
Papilionoidea,Lycaenidae,,Gossamer-winged,Satyrium Edwardsii,Edwards' Hairstreak,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Quercus"
Hesperioidea,Hesperiidae,,Skippers,Lerodea Eufala,Eufala Skipper,"","DE, MD, NJ, NY, NC, PA, VA","Cynodon, Eustachys, Imperata, Paspalum, Sorghastrum, Stenotaphrum, Urochloa"
Papilionoidea,Nymphalidae,,Brush-footed,Inachis Io,European Peacock,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Arctostaphylos, Ceanothus, Chamaecyparis, Eriogonum, Gaylussacia, Juniperus, Kalmia, Ledum, Rhododendron, Sedum, Vaccinium"
Hesperioidea,Hesperiidae,,Skippers,Thymelicus Lineola,European Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Dactylis, Elymus, Holcus, Phleum"
Papilionoidea,Nymphalidae,Satyridae,Browns,Satyrodes Eurydice,Eyed Brown,"","CT, DE, NJ, NY, PA","Carex, Scirpus"
Papilionoidea,Pieridae,,Whites & Sulfers,Anthocharis Midea,Falcate Orangetip,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, VA, WV","Arabis, Barbarea, Capsella, Cardamine, Draba, Lepidium, Sisymbrium"
Papilionoidea,Pieridae,,Whites & Sulfers,Paramidea Midea,Falcate Orangetip,"","",""
Hesperioidea,Hesperiidae,,Skippers,Hylephila Phyleus,Fiery Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Cynodon, Digitaria, Saccharum, Stenotaphrum"
